# 
id,IgG 
401,150
402,3.1
403,14.4
404,124.5
405,206.1
406,1
407,24.7
408,87.2
409,55.3
410,43.9
411,10.8
412,3.6
413,2.7
414,319.2
415,1.1
416,1.6
417,220.5
418,1.1
419,23.9
420,1.2
421,148.4
422,120.9
423,9.4
424,1.8
425,133.5
426,5.3
427,93.5
428,6.6
430,128.3
431,62.5
433,70.1
434,21.6
436,157.4
439,1.1
446,3.3
447,10.2
449,153.3
450,193.1
454,7.6
455,4.8
457,23
459,89.1
461,278.4
462,264.4
464,1.1
465,168.3
466,12.7
469,202.3
470,2.9
472,312.2
474,75.2
475,9.5
476,64.1
477,5.9
478,1.2
479,118.7
480,156.6
481,1.2
